Player,Team,Min,Value
Valentino Livramento,Newcastle Utd,2570,€49.3M
Victor Bernth Kristiansen,Leicester City,2380,€23.9M
Virgil van Dijk,Liverpool,3150,€24.3M
Vitaliy Mykolenko,Everton,2812,€33.5M
Vitaly Janelt,Brentford,2254,€27.1M
Wes Burns,Ipswich Town,926,€2.1M
Wesley Fofana,Chelsea,1172,€30.3M
Wilfred Ndidi,Leicester City,2147,€20.3M
Will Hughes,Crystal Palace,1899,€11.1M
William Saliba,Arsenal,2904,€79.5M
Wout Faes,Leicester City,2545,€25M
Yankuba Minteh,Brighton,1587,€42.6M
Yasin Ayari,Brighton,1759,€21.4M
Yehor Yarmoliuk,Brentford,1196,€18M
Yoane Wissa,Brentford,2650,€31.4M
Youri Tielemans,Aston Villa,2997,€41.5M
Yukinari Sugawara,Southampton,1467,€15.7M
Yves Bissouma,Tottenham,1300,€29.8M
Álex Moreno,Nott'ham Forest,955,€11M
İlkay Gündoğan,Manchester City,2050,€12.1M
Łukasz Fabiański,West Ham,1070,€0.9M
