Player,Team,Min,Value
Son Heung-min,Tottenham,2004,€28.6M
Stefan Ortega,Manchester City,1100,€5.8M
Stephy Mavididi,Leicester City,1615,€13.2M
Sávio,Manchester City,1734,€74.8M
Taylor Harwood-Bellis,Southampton,2564,€29.9M
Thomas Partey,Arsenal,2437,€14.7M
Timothy Castagne,Fulham,1625,€16.8M
Tomáš Souček,West Ham,2251,€25.6M
Tosin Adarabioyo,Chelsea,1229,€24.8M
Toti Gomes,Wolves,2254,€18.6M
Trent Alexander-Arnold,Liverpool,2240,€55.4M
Trevoh Chalobah,Crystal Palace,1060,€20.2M
Tyler Adams,Bournemouth,1620,€24.5M
Tyler Dibling,Southampton,1697,€32M
Tyrick Mitchell,Crystal Palace,2852,€25.1M
Tyrone Mings,Aston Villa,1051,€5.7M
Valentino Livramento,Newcastle Utd,2480,€48.4M
Victor Bernth Kristiansen,Leicester City,2380,€23.9M
Virgil van Dijk,Liverpool,3060,€16.6M
Vitaliy Mykolenko,Everton,2722,€33.5M
Vitaly Janelt,Brentford,2254,€22.2M
Wes Burns,Ipswich Town,926,€2.1M
Wesley Fofana,Chelsea,1172,€30.4M
Wilfred Ndidi,Leicester City,2057,€20.4M
Will Hughes,Crystal Palace,1869,€7.3M
William Saliba,Arsenal,2814,€79.5M
Wout Faes,Leicester City,2455,€25.3M
Yankuba Minteh,Brighton,1499,€42.6M
Yasin Ayari,Brighton,1737,€21.5M
Yehor Yarmoliuk,Brentford,1039,€18M
Yoane Wissa,Brentford,2470,€31.4M
Youri Tielemans,Aston Villa,2915,€43.3M
Yukinari Sugawara,Southampton,1467,€15.8M
Yves Bissouma,Tottenham,1210,€30M
Álex Moreno,Nott'ham Forest,955,€11.2M
İlkay Gündoğan,Manchester City,1967,€11M
Łukasz Fabiański,West Ham,1070,€0.9M
